x,y,area,peak_brightness,circularity,compactness,neighbor_distance,classification,confidence,arabic_name
1018.76,1331.22,17.0,48.0,0.2227,2.8235,21.65,Étoile ponctuelle,0.72,Althurayya
1020.12,1309.61,5.5,46.0,0.6588,8.3636,9.36,Système binaire,0.8,
1010.76,1309.82,11.0,49.0,0.7411,4.4545,9.36,Système binaire,0.8,
1860.99,1304.38,13.5,52.0,0.4284,3.8519,21.49,Étoile ponctuelle,0.78,Rigel
1820.37,1301.37,4.5,51.0,0.6872,11.3333,31.41,Étoile ponctuelle,0.86,Sirius
1879.64,1293.71,7.5,58.0,0.7234,7.7333,21.49,Étoile ponctuelle,0.87,Vega
1794.83,1283.08,4.0,52.0,0.6449,13.0,12.82,Système binaire,0.75,
1020.43,1284.21,7.0,49.0,0.6474,7.0,10.65,Système binaire,0.78,
1009.79,1284.54,6.5,48.0,0.545,7.3846,10.65,Système binaire,0.78,
1782.03,1282.41,19.0,52.0,0.2845,2.7368,12.82,Système binaire,0.75,
1753.92,1278.73,8.0,58.0,0.539,7.25,11.63,Système binaire,0.77,
1928.24,1277.71,7.0,52.0,0.4001,7.4286,7.01,Système binaire,0.83,
1006.58,1272.42,6.0,49.0,0.643,8.1667,11.65,Système binaire,0.77,
1931.14,1271.33,8.5,54.0,0.2697,6.3529,6.86,Système binaire,0.83,
1761.61,1270.0,6.0,47.0,0.5549,7.8333,11.63,Système binaire,0.77,
1041.5,1269.65,8.0,49.0,0.8574,6.125,15.88,Système binaire,0.71,
1937.54,1268.87,10.5,55.0,0.5809,5.2381,6.86,Système binaire,0.83,
1749.49,1267.9,8.5,53.0,0.4225,6.2353,11.7,Système binaire,0.77,
1928.33,1264.44,6.5,54.0,0.7786,8.3077,7.44,Système binaire,0.83,
1027.5,1262.15,13.0,46.0,0.6664,3.5385,15.83,Système binaire,0.71,
1011.67,1261.94,6.0,47.0,0.5549,7.8333,11.65,Système binaire,0.77,
1713.78,1260.22,6.0,55.0,0.8085,9.1667,15.69,Système binaire,0.71,
1938.07,1259.77,10.0,52.0,0.2485,5.2,9.12,Système binaire,0.8,
1727.06,1247.39,5.5,50.0,0.7798,9.0909,15.97,Système binaire,0.71,
1711.31,1244.73,7.5,54.0,0.4646,7.2,12.81,Système binaire,0.75,
1710.61,1231.94,5.5,50.0,0.7798,9.0909,4.79,Système binaire,0.86,
1974.42,1230.19,12.0,52.0,0.6152,4.3333,7.99,Système binaire,0.82,
1959.29,1236.51,110.5,66.0,0.1512,0.5973,16.4,Système binaire,0.7,
