visibility,phase_rad,spatial_freq,fringe_angle_deg,file
1.0,-2.9999,0.058071,19.65,fringe_000.png
0.5209,-1.8511,0.036014,49.4,fringe_001.png
0.6627,2.9329,0.027621,81.87,fringe_002.png
0.3961,-2.1126,0.055929,-102.09,fringe_003.png
0.8902,-0.4181,0.021036,-21.8,fringe_004.png
0.702,1.5926,0.059754,-168.69,fringe_005.png
0.8196,1.4502,0.063589,-137.49,fringe_006.png
0.3882,1.0491,0.053131,-36.03,fringe_007.png
0.5608,1.6399,0.055929,-12.09,fringe_008.png
0.5922,2.9527,0.054267,30.26,fringe_009.png
